TenureGroup,用户数,平均订单数,平均返现金额,流失率
0-6个月,1642,2.6839220462850184,164.87205846528622,0.25883069427527405
13-24个月,1467,3.704839809134288,204.91599182004092,0.06475800954328562
24个月以上,429,3.5454545454545454,222.3400233100233,0.0
7-12个月,1584,2.7474747474747474,163.3139393939394,0.09848484848484848
新用户,508,1.889763779527559,142.44257874015747,0.5354330708661418
